ibsym,Desc,filename,c2sym,multiplier,CSIsym2,CSIsym,triggertime,margin,reqId,contractMonth,liquidHours,longName,minTick,tradingHours,timeZoneId,underConId,evRule,evMultiplier,expiry,exchange,secType,currency,contracts,Date,timestamp
AUD,Australian Dollar-CME(Floor+Electronic Combined),AD_0_I0R.TXT,@AD,100000,AD,AD,30,1500,1729.0,201709,20170804:0830-1600;20170807:0830-1600,Australian dollar,0.0001,20170804:1700-1600;20170807:1700-1600,CST,14433401.0,,0.0,20170918,GLOBEX,FUT,USD,AUD20170918,20170803,1501847503
ZL,Soybean Oil-CBT (Floor+Electronic Combined),BO20_I0R.TXT,@BO,60000,BO2,BO,15,825,1729.0,201712,20170804:0830-1320;20170807:0830-1320,Soybean Oil Futures,0.0001,"20170804:1900-0745,0830-1320;20170807:1900-0745,0830-1320",CST,11160669.0,,0.0,20171214,ECBOT,FUT,USD,ZL20171214,20170803,1501847503
GBP,British Pound-CME(Floor+Electronic Combined),BP_0_I0R.TXT,@BP,62500,BP,BP,30,2750,1729.0,201709,20170804:0830-1600;20170807:0830-1600,British pound,0.0001,20170804:1700-1600;20170807:1700-1600,CST,12087797.0,,0.0,20170918,GLOBEX,FUT,USD,GBP20170918,20170803,1501847503
ZC,Corn-CBT (Floor+Electronic Combined),C2_0_I0R.TXT,@C,5000,C2,C,15,900,1729.0,201712,20170804:0830-1320;20170807:0830-1320,Corn Futures,0.0025,"20170804:1900-0745,0830-1320;20170807:1900-0745,0830-1320",CST,11160400.0,,0.0,20171214,ECBOT,FUT,USD,ZC20171214,20170803,1501847503
CAD,Canadian Dollar-CME(Floor+Electronic Combined),CD_0_I0R.TXT,@CD,100000,CD,CD,30,1200,1729.0,201709,20170804:0830-1600;20170807:0830-1600,CAD.USD Forex,5e-05,20170804:1700-1600;20170807:1700-1600,CST,15016251.0,,0.0,20170919,GLOBEX,FUT,USD,CAD20170919,20170803,1501847503
CL,Crude Oil-Light-NYMEX(Floor+Electronic Combined),CL20_I0R.TXT,QCL,1000,CL2,CL,30,2900,1729.0,201709,20170804:0930-1700;20170807:0930-1700,Light Sweet Crude Oil,0.01,20170804:1800-1700;20170807:1800-1700,EST5EDT,17340715.0,,0.0,20170822,NYMEX,FUT,USD,CL20170822,20170803,1501847503
EUR,Euro(Floor+Electronic Combined)-CME,CU_0_I0R.TXT,@EU,125000,CU,CU,30,2750,1729.0,201709,20170804:0830-1600;20170807:0830-1600,European Monetary Union Euro,5e-05,20170804:1700-1600;20170807:1700-1600,CST,12087792.0,,0.0,20170918,GLOBEX,FUT,USD,EUR20170918,20170803,1501847503
EMD,Index-S&P Midcap 400 E-mini-CME,EMD0_I0R.TXT,@EMD,100,EMD,EMD,30,7200,1729.0,201709,"20170804:0830-1515,1530-1600;20170807:0830-1515,1530-1600",E-mini S&P Midcap 400 Futures,0.1,"20170804:1700-1515,1530-1600;20170807:1700-1515,1530-1600",CST,14218823.0,,0.0,20170915,GLOBEX,FUT,USD,EMD20170915,20170803,1501847503
ES,S&P 500 Index-E-mini-CME,ES_0_I0R.TXT,@ES,50,ES,ES,30,4750,1729.0,201709,"20170804:0830-1515,1530-1600;20170807:0830-1515,1530-1600",E-mini S&P 500,0.25,"20170804:1700-1515,1530-1600;20170807:1700-1515,1530-1600",CST,11004968.0,,0.0,20170915,GLOBEX,FUT,USD,ES20170915,20170803,1501847503
GF,Cattle-Feeder-CME(Floor+Electronic Combined),FC_0_I0R.TXT,@GF,50000,FC,FC,10,3000,1729.0,201708,20170804:0830-1305;20170807:0830-1305,Feeder Cattle,0.00025,20170804:0830-1305;20170807:0830-1305,CST,32612420.0,,0.0,20170831,GLOBEX,FUT,USD,GF20170831,20170803,1501847503
