,20161124,20161125
AUD open,2016-11-23 18:00,2016-11-24 18:00
AUD close,2016-11-24 13:00,2016-11-25 13:15
AUD trigger,2016-11-24 12:30,2016-11-25 12:45
ZL open,,2016-11-24 09:30
ZL close,,2016-11-25 13:05
ZL trigger,,2016-11-25 12:35
GBP open,2016-11-23 18:00,2016-11-24 18:00
GBP close,2016-11-24 13:00,2016-11-25 13:15
GBP trigger,2016-11-24 12:30,2016-11-25 12:45
ZC open,,2016-11-24 09:30
ZC close,,2016-11-25 13:05
ZC trigger,,2016-11-25 12:35
CAD open,2016-11-23 18:00,2016-11-24 18:00
CAD close,2016-11-24 13:00,2016-11-25 13:15
CAD trigger,2016-11-24 12:30,2016-11-25 12:45
CL open,2016-11-23 18:00,2016-11-24 18:00
CL close,2016-11-24 13:00,2016-11-25 13:45
CL trigger,2016-11-24 12:30,2016-11-25 13:15
EUR open,2016-11-23 18:00,2016-11-24 18:00
EUR close,2016-11-24 13:00,2016-11-25 13:15
EUR trigger,2016-11-24 12:30,2016-11-25 12:45
EMD open,2016-11-23 18:00,2016-11-24 18:00
EMD close,2016-11-24 13:00,2016-11-25 13:15
EMD trigger,2016-11-24 12:30,2016-11-25 12:45
ES open,2016-11-23 18:00,2016-11-24 18:00
ES close,2016-11-24 13:00,2016-11-25 13:15
ES trigger,2016-11-24 12:30,2016-11-25 12:45
GF open,,2016-11-24 09:30
GF close,,2016-11-25 13:15
GF trigger,,2016-11-25 12:45
ZF open,2016-11-23 18:00,2016-11-24 18:00
ZF close,2016-11-24 13:00,2016-11-25 13:15
ZF trigger,2016-11-24 12:30,2016-11-25 12:45
GC open,2016-11-23 18:00,2016-11-24 18:00
GC close,2016-11-24 13:00,2016-11-25 13:45
GC trigger,2016-11-24 12:30,2016-11-25 13:15
HG open,2016-11-23 18:00,2016-11-24 18:00
HG close,2016-11-24 13:00,2016-11-25 13:45
HG trigger,2016-11-24 12:30,2016-11-25 13:15
HO open,2016-11-23 18:00,2016-11-24 18:00
HO close,2016-11-24 13:00,2016-11-25 13:45
HO trigger,2016-11-24 12:30,2016-11-25 13:15
JPY open,2016-11-23 18:00,2016-11-24 18:00
JPY close,2016-11-24 13:00,2016-11-25 13:15
JPY trigger,2016-11-24 12:30,2016-11-25 12:45
LE open,,2016-11-24 09:30
LE close,,2016-11-25 13:15
LE trigger,,2016-11-25 12:45
HE open,,2016-11-24 09:30
HE close,,2016-11-25 13:15
HE trigger,,2016-11-25 12:45
MXP open,2016-11-23 18:00,2016-11-24 18:00
MXP close,2016-11-24 13:00,2016-11-25 13:15
MXP trigger,2016-11-24 12:30,2016-11-25 12:45
NZD open,2016-11-23 18:00,2016-11-24 18:00
NZD close,2016-11-24 13:00,2016-11-25 13:15
NZD trigger,2016-11-24 12:30,2016-11-25 12:45
NG open,2016-11-23 18:00,2016-11-24 18:00
NG close,2016-11-24 13:00,2016-11-25 13:45
NG trigger,2016-11-24 12:30,2016-11-25 13:15
NIY open,2016-11-23 18:00,2016-11-24 18:00
NIY close,2016-11-24 13:00,2016-11-25 13:15
NIY trigger,2016-11-24 12:30,2016-11-25 12:45
NQ open,2016-11-23 18:00,2016-11-24 18:00
NQ close,2016-11-24 13:00,2016-11-25 13:15
NQ trigger,2016-11-24 12:30,2016-11-25 12:45
PA open,2016-11-23 18:00,2016-11-24 18:00
PA close,2016-11-24 13:00,2016-11-25 13:45
PA trigger,2016-11-24 12:30,2016-11-25 13:15
PL open,2016-11-23 18:00,2016-11-24 18:00
PL close,2016-11-24 13:00,2016-11-25 13:45
PL trigger,2016-11-24 12:30,2016-11-25 13:15
RB open,2016-11-23 18:00,2016-11-24 18:00
RB close,2016-11-24 13:00,2016-11-25 13:45
RB trigger,2016-11-24 12:30,2016-11-25 13:15
ZS open,,2016-11-24 09:30
ZS close,,2016-11-25 13:05
ZS trigger,,2016-11-25 12:35
CHF open,2016-11-23 18:00,2016-11-24 18:00
CHF close,2016-11-24 13:00,2016-11-25 13:15
CHF trigger,2016-11-24 12:30,2016-11-25 12:45
SI open,2016-11-23 18:00,2016-11-24 18:00
SI close,2016-11-24 13:00,2016-11-25 13:45
SI trigger,2016-11-24 12:30,2016-11-25 13:15
ZM open,,2016-11-24 09:30
ZM close,,2016-11-25 13:05
ZM trigger,,2016-11-25 12:35
ZT open,2016-11-23 18:00,2016-11-24 18:00
ZT close,2016-11-24 13:00,2016-11-25 13:15
ZT trigger,2016-11-24 12:30,2016-11-25 12:45
ZN open,2016-11-23 18:00,2016-11-24 18:00
ZN close,2016-11-24 13:00,2016-11-25 13:15
ZN trigger,2016-11-24 12:30,2016-11-25 12:45
ZB open,2016-11-23 18:00,2016-11-24 18:00
ZB close,2016-11-24 13:00,2016-11-25 13:15
ZB trigger,2016-11-24 12:30,2016-11-25 12:45
ZW open,,2016-11-24 09:30
ZW close,,2016-11-25 13:05
ZW trigger,,2016-11-25 12:35
YM open,2016-11-23 18:00,2016-11-24 18:00
YM close,2016-11-24 13:00,2016-11-25 13:15
YM trigger,2016-11-24 12:30,2016-11-25 12:45
