ibsym,initMargin,maintMargin
ZC,687.5,550.0
PL,2166.25,1733.0
ES,8078.25,6462.6
HG,3898.75,3119.0
ZS,1625.0,1300.0
EUR,6925.0,5540.0
YM,9153.54,7322.83
CAD,2609.87,2087.9
MXP,1530.0,900.0
ZM,1250.0,1000.0
ZT,453.75,363.0
CL,2437.5,1950.0
GF,3500.0,2800.0
ZL,750.0,600.0
HE,1800.0,1440.0
NG,2750.0,2200.0
GBP,7347.66,5878.13
HO,3500.0,2800.0
NQ,8733.6,6986.88
GC,6063.75,4851.0
ZB,3131.25,2505.0
PA,8125.0,6500.0
ZN,1311.25,1049.0
AUD,2654.87,2123.9
SI,5914.35,4381.0
RB,3500.0,2800.0
ZW,1187.5,950.0
NZD,3018.75,2415.0
CHF,5992.97,4794.38
JPY,3968.75,3175.0
EMD,11475.0,9180.0
LE,2198.75,1759.0
NIY,9596.56,7677.27
ZF,745.0,596.0
