2017-02-21 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-02-21 00:00:00,Close2017-02-21 00:00:00,group,RiskOn,Custom,SEA2017-02-21 00:00:00,SRUN2017-02-21 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-02-20 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-02-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-02-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-02-21 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,Date,timestamp
AC,@ACJ7,1.539,0.0294167105,-0.00581395348837,-1.0,1.0,1.0,-1.0,1.0,-8.0,2017-02-08,853.0846045,1.0,1.0,1.0,44631.0,1.0,-0.00581395348837,1.539,energy,1.0,1.0,1.0,-8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
AD,@ADH7,0.768,0.006075,0.00326583932071,1.0,1.0,-1.0,1.0,1.0,15.0,2017-01-30,607.5,1.0,1.0,1.0,76800.0,1.0,0.00326583932071,0.768,currency,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
AEX,AEXH7,498.4,5.348872758,0.0058526740666,1.0,1.0,1.0,1.0,-1.0,-4.0,2017-02-15,1127.11446757,1.0,1.0,1.0,105022.848,0.949126803341,0.0058526740666,498.4,index,1.0,1.0,-1.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
BO,@BOK7,32.95,0.6158700605,-0.00633293124246,-1.0,1.0,1.0,-1.0,1.0,-8.0,2017-02-08,369.5220363,2.0,1.0,1.0,19770.0,1.0,-0.00633293124246,32.95,grain,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,0,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
BP,@BPH7,1.2478,0.01082,0.00491261979544,1.0,1.0,-1.0,1.0,-1.0,-29.0,2017-01-09,676.25,1.0,1.0,1.0,77987.5,1.0,0.00491261979544,1.2478,currency,1.0,1.0,-1.0,-29.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
C,@CK7,376.5,5.253156312,0.00266311584554,1.0,-1.0,1.0,-1.0,1.0,38.0,2016-12-23,262.6578156,3.0,1.0,1.0,18825.0,1.0,0.00266311584554,376.5,grain,1.0,1.0,1.0,38.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
CC,@CCK7,1996.0,51.2020199495,-0.002,-1.0,-1.0,1.0,-1.0,-1.0,4.0,2017-02-14,512.020199495,1.0,1.0,1.0,19960.0,1.0,-0.002,1996.0,soft,1.0,1.0,-1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
CD,@CDH7,0.76115,0.0049,-0.00275139207337,-1.0,-1.0,1.0,-1.0,1.0,15.0,2017-01-30,490.0,2.0,1.0,1.0,76115.0,1.0,-0.00275139207337,0.76115,currency,1.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
CGB,CBH7,138.02,0.584,-0.000941006152733,-1.0,1.0,-1.0,1.0,-1.0,8.0,2017-02-08,444.376807183,2.0,1.0,1.0,105022.066657,1.3142,-0.000941006152733,138.02,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
CL,QCLJ7,54.33,1.068519079,0.0102268501302,1.0,-1.0,-1.0,-1.0,1.0,26.0,2017-01-12,1068.519079,1.0,1.0,1.0,54330.0,1.0,0.0102268501302,54.33,energy,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
CT,@CTK7,75.66,1.018931536,0.00185381355932,1.0,-1.0,-1.0,-1.0,1.0,-12.0,2017-02-02,509.465768,1.0,1.0,1.0,37830.0,1.0,0.00185381355932,75.66,soft,1.0,1.0,1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
CU,@EUH7,1.0556,0.00794,-0.00551132884262,-1.0,1.0,1.0,1.0,-1.0,-4.0,2017-02-14,992.5,1.0,1.0,1.0,131950.0,1.0,-0.00551132884262,1.0556,currency,1.0,1.0,-1.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,20170221,1487728205
