CSIsym,positions,max_margin,total_margin,hc,adj_margin,max_margin,TU,BO,LC,MP,PL,CL,YM,FV,C,LH,AD,HG,NG,NQ,TY,W,FC,CD,SI,HO,NIY,US,S,NE,GC,RB,ES,SM,JY,PA,EMD,SF,BP,CU
NIY,1,7550.8,7550.8,{},7550.8,7550.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NQ,2,6972.24,13944.48,"{'EMD': {'position': -1, 'margin': 11475.0, 'corr': 0.74}, 'ES': {'position': -2, 'margin': 16156.5, 'corr': 0.89}}",0.0,6972.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894166,0.0,0.0,0.0,0.744187,0.0,0.0,0.0
PA,1,6875.0,6875.0,{},6875.0,6875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PL,2,2400.0,4800.0,{},4800.0,2400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,-1,4650.0,4650.0,{},4650.0,4650.0,0.0,0.0,0.0,0.0,0.0,0.727818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,2,2100.0,4200.0,{},4200.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.832899,0.0,0.0,0.0,0.0,0.0,0.0
SF,-2,5960.31,11920.62,"{'CU': {'position': 2, 'margin': 13857.18, 'corr': 0.76}}",0.0,5960.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.755765
SI,-1,6500.0,6500.0,"{'GC': {'position': 1, 'margin': 6063.75, 'corr': 0.8}}",436.25,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.797912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM,3,1800.0,5400.0,{},5400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832899,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TU,12,550.0,6600.0,{},6600.0,550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TY,-3,1450.0,4350.0,"{'US': {'position': 1, 'margin': 4400.0, 'corr': 0.93}, 'FV': {'position': 6, 'margin': 5100.0, 'corr': 0.94}}",0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,1,4400.0,4400.0,"{'TY': {'position': -3, 'margin': 4350.0, 'corr': 0.93}}",50.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764607,0.0,0.0,0.0,0.0,0.0,0.0,0.928527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,4,1187.5,4750.0,{},4750.0,1187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YM,3,6533.44,19600.32,"{'ES': {'position': -2, 'margin': 16156.5, 'corr': 0.83}}",0.0,6533.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
