20040326,129149.85901904,130369.98050245,127380.68286809,127746.71931312,     182,     161,200411
20040329,127075.65249724,127929.73753563,127075.65249724,127990.74360980,      32,     153,200411
20040330,128478.79220316,128478.79220316,128112.75575814,128234.76790648,      13,     155,200411
20040331,128539.79827733,128905.83472236,128051.74968397,128600.80435150,       6,     169,200411
20040401,128661.81042567,129637.90761240,128295.77398065,129149.85901904,      13,     181,200411
20040402,128173.76183231,129210.86509321,127624.70716477,128112.75575814,     145,     270,200411
20040405,126892.63427473,130491.99265079,126892.63427473,128356.78005482,      55,     270,200411
20040406,128783.82257401,129271.87116738,128783.82257401,129088.85294487,       3,     370,200411
20040407,130247.96835411,131224.06554084,130247.96835411,131590.10198586,      32,     161,200411
20040408,130736.01694747,130736.01694747,130736.01694747,130736.01694747,       0,     161,200411
20040412,130064.95013160,130064.95013160,130064.95013160,130064.95013160,      32,     400,200411
20040413,132261.16880174,132261.16880174,132261.16880174,132261.16880174,       1,     396,200411
20040414,133237.26598846,133237.26598846,131956.13843088,131712.11413420,       3,     396,200411
20040415,132200.16272757,132200.16272757,132200.16272757,132200.16272757,       0,     316,200411
20040416,132139.15665339,132139.15665339,131407.08376335,131895.13235671,      15,     316,200411
20040419,132139.15665339,132139.15665339,132139.15665339,132139.15665339,       0,     331,200411
20040420,132932.23561761,132932.23561761,132444.18702425,133481.29028515,      13,     344,200411
20040421,131651.10806003,131651.10806003,131651.10806003,131651.10806003,      26,     368,200411
20040422,131102.05339250,131102.05339250,128539.79827733,128722.81649984,       4,     367,200411
20040423,129149.85901904,129698.91368657,129149.85901904,129454.88938989,      18,     385,200411
20040426,129820.92583491,130186.96227994,129332.87724155,129332.87724155,     109,     454,200411
20040427,129393.88331572,129393.88331572,129332.87724155,129332.87724155,      32,     484,200411
20040428,129576.90153823,130552.99872496,129332.87724155,129698.91368657,     191,     574,200411
20040429,129027.84687070,131163.05946667,129027.84687070,130430.98657662,     193,     701,200411
20040430,129393.88331572,130614.00479913,129332.87724155,130675.01087330,     108,     720,200411
20040503,129942.93798326,129942.93798326,129637.90761240,128905.83472236,      11,     731,200411
20040504,128600.80435150,128966.84079653,128173.76183231,128905.83472236,     191,     731,200411
20040505,129210.86509321,129210.86509321,127502.69501643,127807.72538729,     123,     823,200411
20040506,129027.84687070,129942.93798326,129027.84687070,129515.89546406,      21,     830,200411
20040507,128051.74968397,130247.96835411,128051.74968397,130491.99265079,     161,     928,200411
20040510,131956.13843088,132749.21739510,131773.12020837,132444.18702425,      38,     965,200411
20040511,130369.98050245,131529.09591169,130247.96835411,130858.02909581,      29,     964,200411
20040512,132383.18095008,132383.18095008,130125.95620577,129454.88938989,      12,     970,200411
20040513,129027.84687070,129027.84687070,128417.78612899,128844.82864819,       3,     970,200411
20040514,129027.84687070,129027.84687070,129027.84687070,129027.84687070,       0,     968,200411
20040517,130003.94405743,130614.00479913,129393.88331572,129881.93190908,      15,     959,200411
20040518,129637.90761240,129637.90761240,129637.90761240,129637.90761240,       1,     957,200411
20040519,127380.68286809,129332.87724155,127258.67071975,129027.84687070,       7,     966,200411
20040520,128905.83472236,128905.83472236,128905.83472236,128600.80435150,       2,     966,200411
20040521,128661.81042567,128722.81649984,128600.80435150,128722.81649984,      15,     968,200411
20040524,128112.75575814,128112.75575814,128112.75575814,128112.75575814,      15,     968,200411
20040525,128722.81649984,128783.82257401,125367.48242046,125672.51279132,      55,    1024,200411
20040526,126343.57960719,126343.57960719,125733.51886549,126099.55531051,       6,    1030,200411
20040527,125367.48242046,127197.66464558,125367.48242046,126526.59782970,      43,    1030,200411
20040528,126587.60390388,126587.60390388,126587.60390388,126587.60390388,      43,    1031,200411
20040601,126099.55531051,127197.66464558,126099.55531051,126709.61605222,       8,    1032,200411
20040602,128112.75575814,128112.75575814,126282.57353302,126099.55531051,     156,    1033,200411
20040603,126892.63427473,126892.63427473,126892.63427473,126526.59782970,       3,    1036,200411
20040604,127014.64642307,127319.67679392,127014.64642307,127197.66464558,     152,    1175,200411
20040607,125733.51886549,125733.51886549,125733.51886549,125794.52493966,      10,    1185,200411
20040608,125672.51279132,125672.51279132,124513.39738208,125001.44597544,      23,    1207,200411
20040609,125367.48242046,125367.48242046,125367.48242046,125977.54316217,       5,    1207,200411
20040610,125855.53101383,125855.53101383,125855.53101383,125855.53101383,       0,    1201,200411
20040614,126282.57353302,126892.63427473,126282.57353302,126709.61605222,      41,    1201,200411
20040615,126465.59175553,126709.61605222,126282.57353302,125977.54316217,     370,    1539,200411
20040616,125977.54316217,125977.54316217,122561.20300862,122378.18478611,      82,    1571,200411
20040617,123232.26982450,123232.26982450,122317.17871194,122256.17263777,     365,    1575,200411
20040618,123171.26375033,123171.26375033,122012.14834108,122256.17263777,     169,    1737,200411
20040621,122073.15441526,122439.19086028,121585.10582189,122622.20908279,      41,    1761,200411
20040622,122012.14834108,123781.32449203,120792.02685767,120609.00863516,     108,    1778,200411
20040623,121036.05115436,121829.13011857,116826.63203659,116765.62596242,     198,    1951,200411
20040624,117680.71707498,119937.94181929,117680.71707498,118229.77174251,     170,    2094,200411
20040625,118961.84463256,120181.96611597,118961.84463256,119937.94181929,      49,    2142,200411
20040628,119083.85678090,120731.02078350,119083.85678090,121280.07545104,      47,    2187,200411
20040629,120792.02685767,120792.02685767,120609.00863516,120853.03293184,       9,    2192,200411
20040630,121463.09367355,121463.09367355,120670.01470933,120425.99041265,      14,    2116,200411
20040701,121036.05115436,122622.20908279,121036.05115436,122256.17263777,     157,    2240,200411
