19860820,162.20793407,166.27662553,162.12489955,164.61593514,     161,      37,198611
19860821,164.82352143,166.48421183,164.82352143,166.06903923,     124,      95,198611
19860822,166.06903923,167.72972962,165.86145293,167.52214332,      37,     111,198611
19860825,167.93731592,170.01317891,167.72972962,169.18283371,      28,     119,198611
19860826,169.39042001,170.63593781,169.39042001,170.63593781,      48,     126,198611
19860827,171.46628300,172.91938710,171.05111041,172.71180080,      39,     134,198611
19860828,172.71180080,173.33455969,172.08904190,172.50421450,      15,     139,198611
19860829,172.91938710,174.78766379,172.71180080,174.78766379,      38,     137,198611
19860902,174.16490489,174.16490489,173.54214599,173.74973229,       3,     126,198611
19860903,173.74973229,173.74973229,173.54214599,173.54214599,       5,     125,198611
19860904,173.33455969,173.33455969,172.29662820,172.29662820,      14,     133,198611
19860905,172.08904190,172.08904190,171.88145560,172.08904190,       8,     138,198611
19860908,172.08904190,172.08904190,170.63593781,170.63593781,      24,     158,198611
19860909,170.63593781,171.46628300,170.63593781,170.84352411,      12,     161,198611
19860910,168.56007482,169.39042001,167.52214332,169.18283371,      38,     204,198611
19860911,169.39042001,169.80559261,168.97524741,168.97524741,       5,     176,198611
19860912,168.97524741,169.59800631,168.76766112,168.97524741,      12,     174,198611
19860915,167.52214332,167.52214332,167.52214332,167.52214332,       4,     177,198611
19860916,167.52214332,167.52214332,167.10697072,167.10697072,      22,     172,198611
19860917,167.52214332,168.76766112,167.52214332,168.76766112,      14,     166,198611
19860918,169.39042001,171.46628300,169.39042001,171.46628300,      10,     155,198611
19860919,171.05111041,171.88145560,170.22076521,171.88145560,      23,     167,198611
19860922,171.46628300,172.29662820,171.25869670,172.29662820,       7,     164,198611
19860923,172.50421450,172.71180080,171.46628300,172.29662820,      26,     170,198611
19860924,172.50421450,172.50421450,171.88145560,172.71180080,      23,     172,198611
19860925,172.29662820,172.50421450,171.88145560,172.50421450,       6,     171,198611
19860926,172.71180080,173.12697340,172.71180080,173.12697340,      13,     173,198611
19860929,172.50421450,172.71180080,171.88145560,171.88145560,       5,     178,198611
19860930,171.67386930,171.67386930,170.42835151,170.63593781,       9,     180,198611
19861001,171.88145560,172.08904190,171.88145560,171.88145560,       7,     168,198611
19861002,172.91938710,172.91938710,172.29662820,172.91938710,      15,     175,198611
19861003,172.50421450,172.71180080,172.29662820,172.50421450,      13,     278,198611
19861006,172.08904190,172.29662820,171.46628300,172.08904190,       3,     179,198611
19861007,171.46628300,171.67386930,170.42835151,170.42835151,       6,     178,198611
19861008,169.39042001,170.63593781,169.18283371,170.63593781,      15,     164,198611
19861009,170.63593781,171.46628300,170.63593781,170.84352411,       3,     165,198611
19861010,170.42835151,170.42835151,170.01317891,170.22076521,       6,     163,198611
19861013,169.80559261,170.01317891,168.76766112,169.59800631,       3,     161,198611
19861014,169.39042001,170.22076521,169.39042001,169.80559261,       3,     161,198611
19861015,170.22076521,172.50421450,169.39042001,172.50421450,      17,     160,198611
19861016,171.88145560,172.71180080,171.05111041,172.71180080,      12,     161,198611
19861017,171.67386930,173.12697340,171.46628300,172.08904190,       4,     159,198611
19861020,170.84352411,171.25869670,170.01317891,171.25869670,      10,     154,198611
19861021,170.22076521,170.42835151,170.01317891,170.22076521,       4,     152,198611
19861022,170.84352411,171.46628300,170.63593781,171.25869670,      24,     169,198611
19861023,171.46628300,171.46628300,171.05111041,171.25869670,      17,     183,198611
19861024,171.25869670,172.29662820,170.84352411,172.29662820,      61,     182,198611
19861027,172.08904190,173.74973229,171.88145560,173.74973229,      16,     173,198611
19861028,173.54214599,173.74973229,173.12697340,173.74973229,      14,     164,198611
19861029,173.12697340,173.54214599,172.91938710,173.33455969,       6,     162,198611
19861030,172.91938710,174.99525009,172.91938710,173.54214599,      27,     173,198611
19861031,174.37249119,175.20283639,173.54214599,174.37249119,      13,     171,198611
19861103,175.20283639,175.20283639,174.99525009,175.20283639,       1,     105,198611
19861104,174.58007749,175.20283639,174.58007749,175.20283639,      10,     113,198611
19861105,176.04132222,176.65187016,175.83780624,176.44835418,      27,     176,198701
19861106,176.44835418,176.44835418,175.83780624,176.44835418,       1,     173,198701
19861107,175.83780624,176.85538614,175.63429026,176.85538614,       5,     176,198701
19861110,176.65187016,177.05890212,175.83780624,177.05890212,       2,     174,198701
19861111,176.65187016,176.85538614,176.04132222,176.24483820,       1,     153,198701
19861112,176.44835418,176.65187016,176.24483820,176.24483820,      26,     147,198701
19861113,176.04132222,176.24483820,174.82022634,175.02374232,      19,     157,198701
19861114,175.43077428,176.04132222,175.22725830,175.83780624,       5,     157,198701
19861117,176.44835418,176.44835418,174.82022634,175.02374232,      14,     143,198701
19861118,175.22725830,175.83780624,175.02374232,175.02374232,      13,     146,198701
19861119,175.02374232,175.22725830,174.41319439,174.82022634,      19,     156,198701
19861120,174.82022634,175.02374232,173.19209851,174.82022634,      11,     149,198701
19861121,174.82022634,175.02374232,174.41319439,174.61671037,      19,     151,198701
19861124,174.41319439,174.61671037,173.19209851,173.39561449,       2,     150,198701
19861125,172.78506655,172.98858253,172.58155057,172.78506655,       4,     149,198701
19861126,171.36045469,172.17451861,170.95342274,171.97100263,      43,     147,198701
19861128,171.76748665,172.58155057,171.36045469,172.58155057,       3,     147,198701
19861201,172.78506655,173.80264645,172.58155057,173.80264645,      11,     143,198701
19861202,172.98858253,173.39561449,171.56397067,172.17451861,       2,     143,198701
19861203,171.76748665,172.17451861,170.54639078,171.36045469,       7,     141,198701
19861204,170.95342274,171.15693871,169.52881088,170.34287480,      20,     128,198701
