2017-12-27 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-12-27 00:00:00,Close2017-12-27 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-12-27 00:00:00,LastSRUN,SRUN2017-12-27 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-26 00:00:00,0.5SIG2017-12-22 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-26 00:00:00,0.75SIG2017-12-22 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-26 00:00:00,1SIG2017-12-22 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACG8,1.325,0.022631712,0.00151171579743,1.0,1.0,-1.0,1.0,-1.0,14.0,2017-12-15,656.319648,1.0,1.0,1.0,38425.0,1.0,0.00151171579743,1.325,energy,1.0,1.0,2017-12-15,-1.0,-1.0,15.0,15.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
AD,@ADH8,0.7776,0.0047286985,0.00595084087969,1.0,1.0,-1.0,1.0,1.0,4.0,2017-12-19,472.86985,2.0,1.0,1.0,77760.0,1.0,0.00595084087969,0.7776,currency,1.0,1.0,2017-12-19,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,925.474773609,925.474773609,925.474773609,-925.474773609,925.474773609,-925.474773609,925.474773609,-925.474773609,925.474773609,925.474773609,-925.474773609,925.474773609,-925.474773609,-925.474773609,925.474773609,925.474773609,925.474773609,-925.474773609,925.474773609,-925.474773609,925.474773609,-925.474773609,-925.474773609,-925.474773609,0.0,-925.474773609,-925.474773609,-925.474773609,-925.474773609,-925.474773609,-925.474773609,925.474773609,925.474773609,925.474773609,-925.474773609
AEX,AEXF8,548.5,4.8647555845,0.00018234865062,1.0,-1.0,-1.0,-1.0,1.0,15.0,2017-12-01,1156.74158288,1.0,1.0,1.0,130422.33,0.841113634452,0.00018234865062,548.5,index,1.0,1.0,2017-12-01,1.0,1.0,16.0,16.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
BO,@BOH8,33.27,0.492425733,-0.00448833034111,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,2017-12-18,295.4554398,3.0,1.0,1.0,19962.0,1.0,-0.00448833034111,33.27,grain,1.0,1.0,2017-12-18,-1.0,-1.0,-6.0,-6.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,-268.788150808,268.788150808,-268.788150808,268.788150808,-268.788150808,268.788150808,-268.788150808,268.788150808,-268.788150808,268.788150808,268.788150808,268.788150808,-268.788150808,-268.788150808,-268.788150808,268.788150808,268.788150808,-268.788150808,268.788150808,-268.788150808,-268.788150808,268.788150808,-268.788150808,-0.0,-268.788150808,-268.788150808,-268.788150808,268.788150808,-268.788150808,-0.0,-268.788150808,268.788150808,-268.788150808,-268.788150808,-268.788150808
BP,@BPH8,1.344,0.0092966935,0.000670091579183,1.0,-1.0,-1.0,-1.0,-1.0,9.0,2017-12-12,581.04334375,1.0,1.0,1.0,84000.0,1.0,0.000670091579183,1.344,currency,1.0,1.0,2017-12-12,-1.0,-1.0,10.0,10.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,56.2876926513,56.2876926513,-56.2876926513,56.2876926513,56.2876926513,-56.2876926513,56.2876926513,-56.2876926513,56.2876926513,-56.2876926513,-56.2876926513,-56.2876926513,56.2876926513,56.2876926513,56.2876926513,-56.2876926513,-56.2876926513,56.2876926513,56.2876926513,-56.2876926513,-56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,56.2876926513,0.0,0.0,56.2876926513
C,@CH8,353.75,3.45,0.00283486888731,1.0,-1.0,1.0,-1.0,1.0,-69.0,2017-09-18,172.5,5.0,1.0,1.0,17687.5,1.0,0.00283486888731,353.75,grain,1.0,1.0,2017-09-18,1.0,1.0,-70.0,-70.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,,1.0,5.0,-1.0,,1.0,5.0,-1.0,,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,250.708717222,250.708717222,250.708717222,-250.708717222,250.708717222,-250.708717222,250.708717222,-250.708717222,250.708717222,-250.708717222,250.708717222,-250.708717222,250.708717222,250.708717222,-250.708717222,250.708717222,250.708717222,-250.708717222,250.708717222,-250.708717222,250.708717222,250.708717222,-250.708717222,250.708717222,250.708717222,0.0,250.708717222,250.708717222,-250.708717222,0.0,0.0,-250.708717222,0.0,250.708717222,-250.708717222
CC,@CCH8,1866.0,52.6,0.00538793103448,1.0,-1.0,-1.0,-1.0,1.0,15.0,2017-12-04,526.0,1.0,1.0,1.0,18660.0,1.0,0.00538793103448,1866.0,soft,1.0,1.0,2017-12-04,1.0,1.0,16.0,16.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,-1.0,,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
CD,@CDH8,0.79225,0.005484814,0.00361033696478,1.0,1.0,-1.0,1.0,1.0,16.0,2017-12-19,548.4814,1.0,1.0,1.0,79225.0,1.0,0.00361033696478,0.79225,currency,1.0,1.0,2017-12-19,1.0,1.0,17.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,286.028946035,286.028946035,286.028946035,-286.028946035,286.028946035,-286.028946035,286.028946035,-286.028946035,286.028946035,286.028946035,-286.028946035,286.028946035,-286.028946035,-286.028946035,286.028946035,286.028946035,286.028946035,-286.028946035,286.028946035,-286.028946035,286.028946035,-286.028946035,-286.028946035,-286.028946035,0.0,-286.028946035,-286.028946035,-286.028946035,-286.028946035,-286.028946035,-286.028946035,286.028946035,286.028946035,286.028946035,-286.028946035
CGB,CBH8,135.44,0.59,0.00363097443498,1.0,1.0,1.0,-1.0,-1.0,11.0,2017-12-07,466.18204804,2.0,1.0,1.0,107016.434893,1.2656,0.00363097443498,135.44,rates,-1.0,1.0,2017-12-07,-1.0,-1.0,12.0,12.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,2.0,0.0,,-1.0,0,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,-1.0,0.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
CL,QCLG8,59.64,1.01589894,-0.00550275137569,-1.0,1.0,-1.0,1.0,1.0,11.0,2017-12-08,1015.89894,1.0,1.0,1.0,59640.0,1.0,-0.00550275137569,59.64,energy,1.0,1.0,2017-12-08,1.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-328.184092046,328.184092046,-328.184092046,328.184092046,-328.184092046,328.184092046,-328.184092046,328.184092046,-328.184092046,-328.184092046,328.184092046,-328.184092046,328.184092046,328.184092046,-328.184092046,-328.184092046,-328.184092046,328.184092046,-328.184092046,328.184092046,-328.184092046,328.184092046,328.184092046,328.184092046,-0.0,328.184092046,328.184092046,328.184092046,328.184092046,328.184092046,328.184092046,-328.184092046,-328.184092046,-328.184092046,328.184092046
