2017-12-26 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-12-26 00:00:00,Close2017-12-26 00:00:00,group,RiskOn,Custom,PC2017-12-22 00:00:00,Close2017-12-22 00:00:00,vSTART,LastSEA,SEA2017-12-26 00:00:00,LastSRUN,SRUN2017-12-26 00:00:00,SEA2017-12-22 00:00:00,SRUN2017-12-22 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-25 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-22 00:00:00,0.5SIG2017-12-25 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-22 00:00:00,0.75SIG2017-12-25 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-22 00:00:00,1SIG2017-12-25 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTH8,77.43,1.2165,-0.0056504430461,-1.0,-1.0,-1.0,1.0,1.0,44.0,2017-10-20,608.25,1.0,1.0,1.0,38715.0,1.0,-0.0056504430461,77.43,soft,1.0,1.0,,,2017-10-20,1.0,1.0,45.0,45.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,0.0,-1,1,1.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
CU,@EUH8,1.1941,0.0066481035,0.00108987256875,1.0,-1.0,1.0,-1.0,-1.0,-20.0,2017-11-24,831.0129375,1.0,1.0,1.0,149262.5,1.0,0.00108987256875,1.1941,currency,1.0,1.0,,,2017-12-12,-1.0,-1.0,9.0,9.0,,,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,162.677104292,162.677104292,-162.677104292,162.677104292,162.677104292,-162.677104292,162.677104292,-162.677104292,162.677104292,-162.677104292,162.677104292,-162.677104292,162.677104292,162.677104292,-162.677104292,-162.677104292,-162.677104292,162.677104292,162.677104292,-162.677104292,-162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,162.677104292,0.0,0.0,162.677104292
DX,@DXH8,92.801,0.423658472,-0.00132366234773,-1.0,1.0,1.0,-1.0,1.0,20.0,2017-11-24,423.658472,2.0,1.0,1.0,92801.0,1.0,-0.00132366234773,92.801,currency,-1.0,-1.0,,,2017-11-24,1.0,1.0,21.0,21.0,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,-1.0,,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
EBL,BDH8,161.77,0.5676573065,,1.0,-1.0,-1.0,-1.0,1.0,11.0,2017-12-07,673.468628432,1.0,1.0,1.0,191923.928,0.842886041807,,,rates,-1.0,1.0,0.000371034568054,161.77,2017-12-07,1.0,,11.0,,1.0,11.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM,BLH8,131.59,0.2232801385,,-1.0,-1.0,1.0,-1.0,1.0,11.0,2017-12-07,264.899556316,3.0,1.0,1.0,156118.376,0.842886041807,,,rates,-1.0,1.0,-0.000303882093748,131.59,2017-12-07,1.0,,11.0,,1.0,11.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBS,EZH8,111.95,0.0502369045,,-1.0,-1.0,1.0,-1.0,1.0,11.0,2017-12-07,59.6010634988,16.0,4.0,4.0,132817.48,0.842886041807,,,rates,-1.0,1.0,-0.00013397043719,111.95,2017-12-07,1.0,,11.0,,1.0,11.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,@EDZ8,97.825,0.017949966,5.1114291556e-05,1.0,-1.0,-1.0,-1.0,-1.0,67.0,2017-09-19,44.874915,22.0,5.0,5.0,244562.5,1.0,5.1114291556e-05,97.825,rates,-1.0,1.0,,,2017-09-19,1.0,1.0,68.0,68.0,,,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
EMD,@EMDH8,1910.3,17.4161594215,0.0006809848088,1.0,-1.0,1.0,-1.0,1.0,5.0,2017-12-15,1741.61594215,1.0,1.0,1.0,191030.0,1.0,0.0006809848088,1910.3,index,1.0,1.0,,,2017-12-15,-1.0,-1.0,6.0,6.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,130.088528025,130.088528025,130.088528025,-130.088528025,130.088528025,-130.088528025,130.088528025,-130.088528025,130.088528025,-130.088528025,130.088528025,-130.088528025,130.088528025,130.088528025,-130.088528025,130.088528025,-130.088528025,-130.088528025,130.088528025,-130.088528025,130.088528025,130.088528025,-130.088528025,130.088528025,130.088528025,0.0,130.088528025,130.088528025,-130.088528025,0.0,0.0,-130.088528025,0.0,130.088528025,-130.088528025
ES,@ESH8,2687.0,18.348321999,0.000372300819062,1.0,1.0,-1.0,1.0,-1.0,49.0,2017-10-13,917.41609995,1.0,1.0,1.0,134350.0,1.0,0.000372300819062,2687.0,index,1.0,1.0,,,2017-10-13,-1.0,-1.0,50.0,50.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,50.0186150409,50.0186150409,-50.0186150409,50.0186150409,50.0186150409,-50.0186150409,50.0186150409,-50.0186150409,50.0186150409,50.0186150409,-50.0186150409,50.0186150409,-50.0186150409,-50.0186150409,50.0186150409,-50.0186150409,-50.0186150409,50.0186150409,50.0186150409,-50.0186150409,-50.0186150409,50.0186150409,50.0186150409,50.0186150409,0.0,0.0,50.0186150409,50.0186150409,50.0186150409,50.0186150409,50.0186150409,50.0186150409,50.0186150409,-50.0186150409,-50.0186150409
FC,@GFH8,141.35,2.6161727605,0.0202093107182,1.0,-1.0,1.0,-1.0,1.0,-7.0,2017-12-13,1308.08638025,1.0,1.0,1.0,70675.0,1.0,0.0202093107182,141.35,meat,1.0,-1.0,,,2017-12-13,1.0,1.0,-8.0,-8.0,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,1428.29303501,1428.29303501,-1428.29303501,1428.29303501,1428.29303501,-1428.29303501,-1428.29303501,1428.29303501,1428.29303501,-1428.29303501,1428.29303501,-1428.29303501,1428.29303501,1428.29303501,-1428.29303501,1428.29303501,1428.29303501,-1428.29303501,1428.29303501,-1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,1428.29303501,-1428.29303501,1428.29303501,-1428.29303501
