2017-12-19 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-12-19 00:00:00,Close2017-12-19 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-12-19 00:00:00,LastSRUN,SRUN2017-12-19 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-18 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-18 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-18 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-18 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACF8,1.268,0.0241605035,-0.000788022064618,-1.0,1.0,1.0,-1.0,1.0,-1.0,2017-12-05,700.6546015,1.0,1.0,1.0,36772.0,1.0,-0.000788022064618,1.268,energy,1.0,1.0,2017-12-05,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
AD,@ADH8,0.7663,0.005068054,-0.000260926288324,-1.0,-1.0,-1.0,1.0,1.0,-7.0,2017-12-07,506.8054,1.0,1.0,1.0,76630.0,1.0,-0.000260926288324,0.7663,currency,1.0,1.0,2017-12-07,1.0,1.0,-8.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,-19.9947814742,-19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,-19.9947814742,19.9947814742,19.9947814742,19.9947814742,-0.0,19.9947814742,19.9947814742,19.9947814742,19.9947814742,19.9947814742,-0.0,-19.9947814742,-0.0,-19.9947814742,19.9947814742
AEX,AEXF8,552.0,4.95215723,-0.00225937641211,-1.0,1.0,-1.0,1.0,1.0,11.0,2017-12-01,1172.67083206,1.0,1.0,1.0,130713.6,0.844594594595,-0.00225937641211,552.0,index,1.0,1.0,2017-12-01,1.0,1.0,12.0,12.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
BO,@BOH8,33.39,0.4914838615,0.00632911392405,1.0,-1.0,1.0,-1.0,-1.0,-27.0,2017-11-08,294.8903169,3.0,1.0,1.0,20034.0,1.0,0.00632911392405,33.39,grain,1.0,1.0,2017-11-30,-1.0,-1.0,13.0,13.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,380.392405063,380.392405063,-380.392405063,380.392405063,380.392405063,-380.392405063,380.392405063,-380.392405063,380.392405063,-380.392405063,380.392405063,-380.392405063,380.392405063,380.392405063,-380.392405063,-380.392405063,-380.392405063,380.392405063,380.392405063,-380.392405063,-380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,380.392405063,0.0,0.0,380.392405063
BP,@BPH8,1.3435,0.0106976415,-0.000446395357488,-1.0,1.0,1.0,1.0,-1.0,-12.0,2017-11-30,668.60259375,1.0,1.0,1.0,83968.75,1.0,-0.000446395357488,1.3435,currency,1.0,1.0,2017-11-30,-1.0,-1.0,-13.0,-13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-37.4832601741,37.4832601741,-37.4832601741,37.4832601741,-37.4832601741,37.4832601741,-37.4832601741,37.4832601741,-37.4832601741,-37.4832601741,-37.4832601741,-37.4832601741,37.4832601741,37.4832601741,37.4832601741,37.4832601741,37.4832601741,-37.4832601741,37.4832601741,-37.4832601741,37.4832601741,37.4832601741,37.4832601741,37.4832601741,37.4832601741,37.4832601741,-37.4832601741,-37.4832601741,-37.4832601741,-37.4832601741,-0.0,37.4832601741,-37.4832601741,-0.0,37.4832601741
C,@CH8,347.5,3.825,0.0014409221902,1.0,-1.0,-1.0,-1.0,1.0,-64.0,2017-09-18,191.25,5.0,1.0,1.0,17375.0,1.0,0.0014409221902,347.5,grain,1.0,1.0,2017-09-18,1.0,1.0,-65.0,-65.0,-1.0,1.0,1.0,5.0,1.0,1.0,5.0,-1.0,2.0,5.0,-1.0,2.0,5.0,-1.0,0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,125.180115274,125.180115274,-125.180115274,125.180115274,125.180115274,-125.180115274,125.180115274,-125.180115274,125.180115274,-125.180115274,-125.180115274,-125.180115274,125.180115274,125.180115274,125.180115274,125.180115274,125.180115274,-125.180115274,125.180115274,-125.180115274,125.180115274,125.180115274,125.180115274,125.180115274,125.180115274,125.180115274,-125.180115274,125.180115274,125.180115274,0.0,125.180115274,125.180115274,-125.180115274,125.180115274,-125.180115274
CC,@CCH8,1912.0,47.95,-0.00520291363163,-1.0,-1.0,1.0,-1.0,-1.0,-25.0,2017-11-10,479.5,2.0,1.0,1.0,19120.0,1.0,-0.00520291363163,1912.0,soft,1.0,1.0,2017-11-10,-1.0,-1.0,-26.0,-26.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CD,@CDH8,0.7779,0.005404336,-0.000770712909441,-1.0,1.0,1.0,-1.0,1.0,11.0,2017-12-01,540.4336,1.0,1.0,1.0,77790.0,1.0,-0.000770712909441,0.7779,currency,1.0,1.0,2017-12-01,1.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,0,-59.9537572254,59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,-59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,59.9537572254,59.9537572254,-59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,-59.9537572254,59.9537572254,-59.9537572254,-59.9537572254,-0.0,-59.9537572254,-59.9537572254,59.9537572254,-0.0,59.9537572254,59.9537572254,-59.9537572254,-59.9537572254,59.9537572254
CGB,CBH8,135.98,0.550099096,-0.00642992839398,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2017-12-07,427.261433786,2.0,1.0,1.0,105615.533981,1.2875,-0.00642992839398,135.98,rates,-1.0,1.0,2017-12-07,-1.0,-1.0,8.0,8.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CL,QCLG8,57.56,1.111343287,0.00594197832926,1.0,-1.0,1.0,-1.0,1.0,-6.0,2017-12-08,1111.343287,1.0,1.0,1.0,57560.0,1.0,0.00594197832926,57.56,energy,1.0,1.0,2017-12-08,1.0,1.0,-7.0,-7.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,342.020272632,342.020272632,-342.020272632,342.020272632,342.020272632,-342.020272632,342.020272632,-342.020272632,342.020272632,-342.020272632,342.020272632,-342.020272632,342.020272632,342.020272632,-342.020272632,342.020272632,342.020272632,-342.020272632,342.020272632,-342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,342.020272632,-342.020272632,342.020272632,-342.020272632
