2018-01-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2018-01-03 00:00:00,Close2018-01-03 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2018-01-03 00:00:00,LastSRUN,SRUN2018-01-03 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2018-01-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2018-01-02 00:00:00,0.5SIG2017-12-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2018-01-02 00:00:00,0.75SIG2017-12-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2018-01-02 00:00:00,1SIG2017-12-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACG8,1.346,0.023554864,-0.0139194139194,-1.0,1.0,-1.0,1.0,-1.0,18.0,2017-12-15,683.091056,1.0,1.0,1.0,39034.0,1.0,-0.0139194139194,1.346,energy,1.0,1.0,2017-12-15,-1.0,-1.0,19.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
AD,@ADH8,0.7839,0.0044742695,0.00114942528736,1.0,1.0,-1.0,1.0,1.0,8.0,2017-12-19,447.42695,2.0,1.0,1.0,78390.0,1.0,0.00114942528736,0.7839,currency,1.0,1.0,2017-12-19,1.0,1.0,9.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,180.206896552,180.206896552,180.206896552,-180.206896552,180.206896552,-180.206896552,180.206896552,-180.206896552,180.206896552,180.206896552,-180.206896552,180.206896552,-180.206896552,-180.206896552,180.206896552,180.206896552,180.206896552,-180.206896552,180.206896552,-180.206896552,180.206896552,-180.206896552,-180.206896552,-180.206896552,0.0,-180.206896552,-180.206896552,-180.206896552,-180.206896552,-180.206896552,-180.206896552,180.206896552,180.206896552,180.206896552,-180.206896552
AEX,AEXF8,549.25,4.4248831055,0.0085383767903,1.0,1.0,1.0,1.0,-1.0,-8.0,2017-12-18,1063.21091259,1.0,1.0,1.0,131973.79,0.832362244049,0.0085383767903,549.25,index,1.0,1.0,2017-12-18,-1.0,-1.0,-9.0,-9.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
BO,@BOH8,33.9,0.49039226,0.0104321907601,1.0,-1.0,1.0,-1.0,-1.0,21.0,2017-11-30,294.235356,3.0,1.0,1.0,20340.0,1.0,0.0104321907601,33.9,grain,1.0,1.0,2017-11-30,-1.0,-1.0,-3.0,-3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,636.572280179,636.572280179,636.572280179,-636.572280179,636.572280179,-636.572280179,636.572280179,-636.572280179,636.572280179,-636.572280179,636.572280179,-636.572280179,636.572280179,636.572280179,-636.572280179,-636.572280179,-636.572280179,636.572280179,-636.572280179,636.572280179,636.572280179,-636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,636.572280179,-636.572280179,636.572280179,636.572280179,636.572280179
BP,@BPH8,1.3547,0.008877014,-0.00594364543587,-1.0,1.0,1.0,1.0,-1.0,-21.0,2017-12-12,554.813375,1.0,1.0,1.0,84668.75,1.0,-0.00594364543587,1.3547,currency,1.0,1.0,2017-12-12,-1.0,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-503.241029498,503.241029498,-503.241029498,503.241029498,-503.241029498,503.241029498,-503.241029498,503.241029498,-503.241029498,-503.241029498,-503.241029498,-503.241029498,503.241029498,503.241029498,503.241029498,503.241029498,503.241029498,-503.241029498,503.241029498,-503.241029498,503.241029498,503.241029498,503.241029498,503.241029498,503.241029498,503.241029498,-503.241029498,-503.241029498,-503.241029498,-503.241029498,-0.0,503.241029498,-503.241029498,-0.0,503.241029498
C,@CH8,353.0,2.925,-0.00070771408351,-1.0,1.0,-1.0,1.0,1.0,-73.0,2017-09-18,146.25,6.0,1.0,1.0,17650.0,1.0,-0.00070771408351,353.0,grain,1.0,1.0,2017-09-18,1.0,1.0,-74.0,-74.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,,1.0,6.0,1.0,,1.0,6.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,74.9469214437,-74.9469214437,-74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,-74.9469214437,74.9469214437,74.9469214437,74.9469214437,-0.0,74.9469214437,74.9469214437,74.9469214437,74.9469214437,74.9469214437,74.9469214437,-74.9469214437,-74.9469214437,-74.9469214437,74.9469214437
CC,@CCH8,1907.0,52.9,-0.014979338843,-1.0,1.0,1.0,1.0,1.0,1.0,2017-12-22,529.0,1.0,1.0,1.0,19070.0,1.0,-0.014979338843,1907.0,soft,1.0,1.0,2017-12-22,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
CD,@CDH8,0.79835,0.005067619,-0.00243658628014,-1.0,1.0,-1.0,1.0,-1.0,20.0,2017-12-19,506.7619,1.0,1.0,1.0,79835.0,1.0,-0.00243658628014,0.79835,currency,1.0,1.0,2017-12-19,-1.0,-1.0,21.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-194.524865675,194.524865675,-194.524865675,194.524865675,-194.524865675,194.524865675,-194.524865675,194.524865675,-194.524865675,-194.524865675,194.524865675,-194.524865675,194.524865675,194.524865675,-194.524865675,194.524865675,194.524865675,-194.524865675,194.524865675,-194.524865675,194.524865675,194.524865675,194.524865675,194.524865675,194.524865675,194.524865675,-194.524865675,194.524865675,-194.524865675,-0.0,-0.0,194.524865675,-194.524865675,-0.0,194.524865675
CGB,CBH8,134.81,0.542,0.00297596904992,1.0,-1.0,1.0,-1.0,1.0,15.0,2017-12-07,432.079081633,2.0,1.0,1.0,107469.706633,1.2544,0.00297596904992,134.81,rates,-1.0,1.0,2017-12-07,1.0,1.0,16.0,16.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
CL,QCLG8,61.63,0.961939576,0.0208712936889,1.0,1.0,-1.0,1.0,-1.0,15.0,2017-12-08,961.939576,1.0,1.0,1.0,61630.0,1.0,0.0208712936889,61.63,energy,1.0,1.0,2017-12-08,-1.0,-1.0,16.0,16.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,1286.29783005,1286.29783005,-1286.29783005,1286.29783005,1286.29783005,-1286.29783005,1286.29783005,-1286.29783005,1286.29783005,1286.29783005,-1286.29783005,1286.29783005,-1286.29783005,-1286.29783005,1286.29783005,-1286.29783005,-1286.29783005,1286.29783005,1286.29783005,-1286.29783005,-1286.29783005,1286.29783005,1286.29783005,1286.29783005,0.0,0.0,1286.29783005,1286.29783005,1286.29783005,1286.29783005,1286.29783005,1286.29783005,1286.29783005,-1286.29783005,-1286.29783005
