2017-12-29 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-12-29 00:00:00,Close2017-12-29 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-12-29 00:00:00,LastSRUN,SRUN2017-12-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACG8,1.354,0.0239093385,0.010447761194,1.0,1.0,1.0,1.0,-1.0,16.0,2017-12-15,693.3708165,1.0,1.0,1.0,39266.0,1.0,0.010447761194,1.354,energy,1.0,1.0,2017-12-15,-1.0,-1.0,17.0,17.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
AD,@ADH8,0.7811,0.0045040205,0.00192406362237,1.0,1.0,-1.0,1.0,1.0,6.0,2017-12-19,450.40205,2.0,1.0,1.0,78110.0,1.0,0.00192406362237,0.7811,currency,1.0,1.0,2017-12-19,1.0,1.0,7.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,300.577219087,300.577219087,300.577219087,-300.577219087,300.577219087,-300.577219087,300.577219087,-300.577219087,300.577219087,300.577219087,-300.577219087,300.577219087,-300.577219087,-300.577219087,300.577219087,300.577219087,300.577219087,-300.577219087,300.577219087,-300.577219087,300.577219087,-300.577219087,-300.577219087,-300.577219087,0.0,-300.577219087,-300.577219087,-300.577219087,-300.577219087,-300.577219087,-300.577219087,300.577219087,300.577219087,300.577219087,-300.577219087
AEX,AEXF8,544.5,4.6173096225,-0.00457038391225,-1.0,1.0,-1.0,1.0,1.0,17.0,2017-12-01,1107.60023225,1.0,1.0,1.0,130614.66,0.833750208438,-0.00457038391225,544.5,index,1.0,1.0,2017-12-18,1.0,1.0,-7.0,-7.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
BO,@BOH8,33.26,0.496091752,0.016814429838,1.0,-1.0,1.0,-1.0,-1.0,19.0,2017-11-30,297.6550512,3.0,1.0,1.0,19956.0,1.0,0.016814429838,33.26,grain,1.0,1.0,2017-11-30,-1.0,-1.0,20.0,20.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,1006.64628554,1006.64628554,-1006.64628554,1006.64628554,1006.64628554,-1006.64628554,1006.64628554,-1006.64628554,1006.64628554,-1006.64628554,1006.64628554,-1006.64628554,1006.64628554,1006.64628554,-1006.64628554,-1006.64628554,-1006.64628554,1006.64628554,1006.64628554,-1006.64628554,-1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,1006.64628554,0.0,0.0,1006.64628554
BP,@BPH8,1.3557,0.0089617435,0.00578677943468,1.0,1.0,1.0,-1.0,1.0,11.0,2017-12-12,560.10896875,1.0,1.0,1.0,84731.25,1.0,0.00578677943468,1.3557,currency,1.0,1.0,2017-12-12,1.0,1.0,-20.0,-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,0,490.321054974,490.321054974,490.321054974,-490.321054974,490.321054974,-490.321054974,490.321054974,-490.321054974,490.321054974,490.321054974,490.321054974,-490.321054974,490.321054974,-490.321054974,-490.321054974,490.321054974,490.321054974,-490.321054974,490.321054974,-490.321054974,490.321054974,490.321054974,-490.321054974,490.321054974,490.321054974,0.0,490.321054974,490.321054974,-490.321054974,0.0,-490.321054974,-490.321054974,490.321054974,490.321054974,-490.321054974
C,@CH8,350.75,3.2375,-0.00355113636364,-1.0,-1.0,1.0,-1.0,1.0,-71.0,2017-09-18,161.875,6.0,1.0,1.0,17537.5,1.0,-0.00355113636364,350.75,grain,1.0,1.0,2017-09-18,1.0,1.0,-72.0,-72.0,-1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-373.668323864,373.668323864,373.668323864,-373.668323864,-373.668323864,373.668323864,-373.668323864,373.668323864,-373.668323864,373.668323864,-373.668323864,373.668323864,-373.668323864,-373.668323864,373.668323864,-373.668323864,-373.668323864,373.668323864,-373.668323864,373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,-373.668323864,373.668323864,-373.668323864,373.668323864
CC,@CCH8,1892.0,52.8,-0.00994243851387,-1.0,1.0,1.0,1.0,1.0,-3.0,2017-12-04,528.0,1.0,1.0,1.0,18920.0,1.0,-0.00994243851387,1892.0,soft,1.0,1.0,2017-12-22,1.0,1.0,-4.0,-4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
CD,@CDH8,0.799,0.0051633975,0.00288690849755,1.0,1.0,-1.0,1.0,1.0,18.0,2017-12-19,516.33975,1.0,1.0,1.0,79900.0,1.0,0.00288690849755,0.799,currency,1.0,1.0,2017-12-19,1.0,1.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,230.663988954,230.663988954,230.663988954,-230.663988954,230.663988954,-230.663988954,230.663988954,-230.663988954,230.663988954,230.663988954,-230.663988954,230.663988954,-230.663988954,-230.663988954,230.663988954,230.663988954,230.663988954,-230.663988954,230.663988954,-230.663988954,230.663988954,-230.663988954,-230.663988954,-230.663988954,0.0,-230.663988954,-230.663988954,-230.663988954,-230.663988954,-230.663988954,-230.663988954,230.663988954,230.663988954,230.663988954,-230.663988954
CGB,CBH8,134.78,0.592,-0.00133372851215,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,2017-12-07,470.401271355,2.0,1.0,1.0,107095.748907,1.2585,-0.00133372851215,134.78,rates,-1.0,1.0,2017-12-07,-1.0,-1.0,14.0,14.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CL,QCLG8,60.42,0.9379232335,0.00969251336898,1.0,1.0,-1.0,1.0,1.0,13.0,2017-12-08,937.9232335,1.0,1.0,1.0,60420.0,1.0,0.00969251336898,60.42,energy,1.0,1.0,2017-12-08,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,585.621657754,585.621657754,585.621657754,-585.621657754,585.621657754,-585.621657754,585.621657754,-585.621657754,585.621657754,585.621657754,-585.621657754,585.621657754,-585.621657754,-585.621657754,585.621657754,585.621657754,585.621657754,-585.621657754,585.621657754,-585.621657754,585.621657754,-585.621657754,-585.621657754,-585.621657754,0.0,-585.621657754,-585.621657754,-585.621657754,-585.621657754,-585.621657754,-585.621657754,585.621657754,585.621657754,585.621657754,-585.621657754
