2018-01-02 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2018-01-02 00:00:00,Close2018-01-02 00:00:00,group,RiskOn,Custom,PC2017-12-29 00:00:00,Close2017-12-29 00:00:00,vSTART,LastSEA,SEA2018-01-02 00:00:00,LastSRUN,SRUN2018-01-02 00:00:00,SEA2017-12-29 00:00:00,SRUN2017-12-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACG8,1.365,0.0228194555,0.00812407680945,1.0,-1.0,-1.0,1.0,-1.0,17.0,2017-12-15,661.7642095,1.0,1.0,1.0,39585.0,1.0,0.00812407680945,1.365,energy,1.0,1.0,,,2017-12-15,-1.0,-1.0,18.0,18.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
AD,@ADH8,0.783,0.0045741125,0.00243246703367,1.0,1.0,-1.0,1.0,1.0,7.0,2017-12-19,457.41125,2.0,1.0,1.0,78300.0,1.0,0.00243246703367,0.783,currency,1.0,1.0,,,2017-12-19,1.0,1.0,8.0,8.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,380.924337473,380.924337473,380.924337473,-380.924337473,380.924337473,-380.924337473,380.924337473,-380.924337473,380.924337473,380.924337473,-380.924337473,380.924337473,-380.924337473,-380.924337473,380.924337473,380.924337473,380.924337473,-380.924337473,380.924337473,-380.924337473,380.924337473,-380.924337473,-380.924337473,-380.924337473,0.0,-380.924337473,-380.924337473,-380.924337473,-380.924337473,-380.924337473,-380.924337473,380.924337473,380.924337473,380.924337473,-380.924337473
AEX,AEXF8,544.6,4.5023473815,0.000183654729109,1.0,1.0,-1.0,1.0,1.0,-7.0,2017-12-18,1085.87614147,1.0,1.0,1.0,131346.628,0.829256157227,0.000183654729109,544.6,index,1.0,1.0,,,2017-12-18,-1.0,-1.0,-8.0,-8.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
BO,@BOH8,33.55,0.488470712,0.00871918220084,1.0,-1.0,-1.0,-1.0,-1.0,20.0,2017-11-30,293.0824272,3.0,1.0,1.0,20130.0,1.0,0.00871918220084,33.55,grain,1.0,1.0,,,2017-11-30,-1.0,-1.0,21.0,21.0,,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,526.551413109,526.551413109,526.551413109,-526.551413109,526.551413109,-526.551413109,526.551413109,-526.551413109,526.551413109,-526.551413109,-526.551413109,-526.551413109,526.551413109,526.551413109,526.551413109,-526.551413109,-526.551413109,526.551413109,-526.551413109,526.551413109,526.551413109,-526.551413109,526.551413109,0.0,526.551413109,526.551413109,526.551413109,-526.551413109,526.551413109,0.0,526.551413109,-526.551413109,526.551413109,526.551413109,526.551413109
BP,@BPH8,1.3628,0.0088192075,0.0052371468614,1.0,1.0,1.0,1.0,1.0,-20.0,2017-12-12,551.20046875,1.0,1.0,1.0,85175.0,1.0,0.0052371468614,1.3628,currency,1.0,1.0,,,2017-12-12,-1.0,-1.0,-21.0,-21.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,446.07398392,446.07398392,446.07398392,-446.07398392,446.07398392,-446.07398392,446.07398392,-446.07398392,446.07398392,446.07398392,446.07398392,446.07398392,-446.07398392,-446.07398392,-446.07398392,446.07398392,-446.07398392,-446.07398392,446.07398392,-446.07398392,446.07398392,446.07398392,-446.07398392,446.07398392,446.07398392,0.0,446.07398392,446.07398392,-446.07398392,0.0,-446.07398392,446.07398392,446.07398392,446.07398392,-446.07398392
C,@CH8,353.25,3.0125,0.00712758374911,1.0,-1.0,1.0,-1.0,1.0,-72.0,2017-09-18,150.625,6.0,1.0,1.0,17662.5,1.0,0.00712758374911,353.25,grain,1.0,1.0,,,2017-09-18,1.0,1.0,-73.0,-73.0,,,-1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,-1.0,2.0,6.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,755.345687812,755.345687812,-755.345687812,755.345687812,755.345687812,-755.345687812,755.345687812,-755.345687812,755.345687812,-755.345687812,755.345687812,-755.345687812,755.345687812,755.345687812,-755.345687812,755.345687812,755.345687812,-755.345687812,755.345687812,-755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,755.345687812,-755.345687812,755.345687812,-755.345687812
CC,@CCH8,1936.0,54.7,0.0232558139535,1.0,-1.0,1.0,-1.0,1.0,-4.0,2017-12-22,547.0,1.0,1.0,1.0,19360.0,1.0,0.0232558139535,1936.0,soft,1.0,1.0,,,2017-12-22,1.0,1.0,1.0,1.0,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
CD,@CDH8,0.8003,0.005140533,0.00162703379224,1.0,1.0,-1.0,1.0,1.0,19.0,2017-12-19,514.0533,1.0,1.0,1.0,80030.0,1.0,0.00162703379224,0.8003,currency,1.0,1.0,,,2017-12-19,-1.0,-1.0,20.0,20.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,130.211514393,130.211514393,130.211514393,-130.211514393,130.211514393,-130.211514393,130.211514393,-130.211514393,130.211514393,130.211514393,-130.211514393,130.211514393,-130.211514393,-130.211514393,130.211514393,130.211514393,-130.211514393,-130.211514393,130.211514393,-130.211514393,130.211514393,-130.211514393,-130.211514393,-130.211514393,0.0,-130.211514393,-130.211514393,-130.211514393,-130.211514393,-130.211514393,-130.211514393,130.211514393,130.211514393,130.211514393,-130.211514393
CGB,CBH8,134.41,0.5465,-0.00274521442351,-1.0,1.0,1.0,-1.0,-1.0,14.0,2017-12-07,436.850519584,2.0,1.0,1.0,107442.046363,1.251,-0.00274521442351,134.41,rates,-1.0,1.0,,,2017-12-07,1.0,1.0,15.0,15.0,,,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,-1.0,0.0,-1.0,1,1,0.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
CL,QCLG8,60.37,0.9194321555,-0.000827540549487,-1.0,1.0,-1.0,1.0,1.0,14.0,2017-12-08,919.4321555,1.0,1.0,1.0,60370.0,1.0,-0.000827540549487,60.37,energy,1.0,1.0,,,2017-12-08,-1.0,-1.0,15.0,15.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,-49.9586229725,49.9586229725,-49.9586229725,49.9586229725,-49.9586229725,49.9586229725,-49.9586229725,49.9586229725,-49.9586229725,-49.9586229725,49.9586229725,-49.9586229725,49.9586229725,49.9586229725,-49.9586229725,-49.9586229725,49.9586229725,49.9586229725,-49.9586229725,49.9586229725,-49.9586229725,49.9586229725,49.9586229725,49.9586229725,-0.0,49.9586229725,49.9586229725,49.9586229725,49.9586229725,49.9586229725,49.9586229725,-49.9586229725,-49.9586229725,-49.9586229725,49.9586229725
